	Gene1 (Latimeria)	Score1	Gene2 (Danio)	Score2
0	NP_001273665.1	545 	XP_005159221.1	569 
1	NP_001273667.1	407 	XP_021323652.1	410 
2	NP_001276818.1	278 	NP_919240.2	278 
3	NP_001291645.1	197 	NP_001291285.1	204 
4	NP_008329.1	478 	NP_059331.1	475 
5	NP_008330.1	430 	NP_059332.1	386 
6	NP_008331.1	916 	NP_059333.1	909 
7	NP_008332.1	401 	NP_059334.1	401 
8	NP_008333.1	60.5	NP_059335.1	60.5
9	NP_008334.1	314 	NP_059336.1	272 
10	NP_008335.1	442 	NP_059337.1	422 
11	NP_008336.1	171 	NP_059338.1	171 
12	NP_008337.1	142 	NP_059339.1	142 
13	NP_008338.1	678 	NP_059340.1	694 
14	NP_008339.1	695 	NP_059341.1	714 
15	NP_008340.1	163 	NP_059342.1	167 
16	NP_008341.1	630 	NP_059343.1	608 
17	XP_005986019.1	1977	XP_021325394.1	1982
18	XP_005986021.1	1897	NP_919343.2	1879
19	XP_005986025.1	358 	NP_001315257.1	325 
20	XP_005986026.1	158 	NP_571669.1	158 
21	XP_005986030.1	523 	NP_998322.1	523 
22	XP_005986034.1	514 	XP_021325427.1	514 
23	XP_005986036.1	416 	NP_001029346.1	416 
24	XP_005986038.1	820 	XP_005162209.1	820 
25	XP_005986039.1	810 	NP_997887.1	810 
26	XP_005986044.1	1213	XP_009295182.1	1213
27	XP_005986047.1	850 	XP_017209089.1	931 
28	XP_005986048.1	1200	XP_021329357.1	1200
29	XP_005986050.1	307 	XP_697734.4	310 
30	XP_005986051.1	88.6	NP_001128608.1	88.6
31	XP_005986052.1	466 	NP_571948.1	466 
32	XP_005986053.1	100 	XP_005162264.1	100 
33	XP_005986055.1	561 	NP_998252.1	560 
34	XP_005986057.1	386 	XP_005162244.1	385 
35	XP_005986058.1	479 	NP_001083004.1	479 
36	XP_005986072.1	313 	NP_001003497.1	313 
37	XP_005986075.1	855 	XP_017209243.1	858 
38	XP_005986076.1	467 	NP_001074051.1	480 
39	XP_005986078.2	172 	NP_001099165.1	146 
40	XP_005986079.1	152 	NP_001038837.1	139 
41	XP_005986082.1	132 	XP_021334227.1	132 
42	XP_005986086.1	278 	NP_998478.1	278 
43	XP_005986087.1	1146	XP_017213856.1	1146
44	XP_005986093.1	1715	XP_001922927.6	1731
45	XP_005986094.1	656 	XP_005167338.1	665 
46	XP_005986095.1	436 	XP_001922801.1	432 
47	XP_005986096.1	978 	XP_009302546.1	976 
48	XP_005986097.1	463 	NP_001315466.1	463 
49	XP_005986101.1	449 	NP_999942.1	467 
50	XP_005986103.1	419 	NP_919385.1	419 
51	XP_005986105.1	712 	XP_700099.5	694 
52	XP_005986111.1	1522	NP_001073146.1	1533
53	XP_005986113.1	374 	NP_957022.1	374 
54	XP_005986114.1	280 	XP_706440.3	301 
55	XP_005986117.1	221 	NP_001038824.1	221 
56	XP_005986118.1	192 	NP_001188274.1	192 
57	XP_005986120.1	434 	NP_001002369.1	435 
58	XP_005986121.1	381 	NP_001017657.1	380 
59	XP_005986123.1	887 	NP_957452.1	887 
60	XP_005986131.2	216 	NP_001122222.1	216 
61	XP_005986132.2	281 	NP_001002598.1	299 
62	XP_005986138.1	946 	NP_956748.1	957 
63	XP_005986142.2	88.6	NP_001106996.1	86.3
64	XP_005986152.2	766 	XP_685049.4	751 
65	XP_005986158.1	290 	XP_021334093.1	293 
66	XP_005986162.1	497 	XP_021334195.1	493 
67	XP_005986168.1	171 	XP_005168340.1	171 
68	XP_005986174.1	191 	NP_001028899.2	196 
69	XP_005986175.2	348 	XP_005167091.1	328 
70	XP_005986183.1	449 	NP_001004630.1	449 
71	XP_005986186.1	492 	NP_001296417.1	494 
72	XP_005986188.1	249 	NP_001104665.1	249 
73	XP_005986190.1	501 	XP_021325460.1	551 
74	XP_005986191.1	637 	NP_001272465.1	650 
75	XP_005986192.1	76.6	NP_001108529.1	76.6
76	XP_005986193.1	697 	XP_009295318.1	697 
77	XP_005986195.1	169 	XP_005162448.1	162 
78	XP_005986199.1	931 	XP_021325580.1	884 
79	XP_005986201.1	912 	XP_021325581.1	865 
80	XP_005986203.1	454 	NP_848524.1	418 
81	XP_005986205.1	544 	NP_956374.1	572 
82	XP_005986214.1	391 	XP_021325693.1	391 
83	XP_005986220.1	275 	XP_017208938.1	262 
84	XP_005986222.1	302 	NP_001073504.1	302 
85	XP_005986223.1	1138	NP_001035455.1	1138
86	XP_005986227.1	668 	XP_021327495.1	690 
87	XP_005986229.2	505 	NP_956345.1	505 
88	XP_005986230.1	275 	NP_956822.2	273 
89	XP_005986233.1	260 	NP_998335.1	244 
90	XP_005986238.1	412 	NP_775371.1	412 
91	XP_005986239.1	606 	NP_958856.1	606 
92	XP_005986242.1	416 	XP_009304048.1	410 
93	XP_005986246.1	678 	NP_998140.1	678 
94	XP_005986249.1	451 	XP_693418.3	464 
95	XP_005986250.1	72.8	XP_005162278.1	79.0
96	XP_005986251.1	1500	XP_001920959.3	1484
97	XP_005986253.1	422 	NP_001107954.1	423 
98	XP_005986254.1	1222	NP_956370.1	1212
99	XP_005986255.1	65.1	XP_005166228.1	72.8
100	XP_005986258.1	295 	NP_001073508.1	295 
101	XP_005986280.1	372 	XP_005166068.1	389 
102	XP_005986281.1	557 	NP_998571.1	557 
103	XP_005986286.1	1496	NP_001018164.1	1506
104	XP_005986287.1	367 	XP_009295305.1	367 
105	XP_005986288.1	882 	NP_955892.1	882 
106	XP_005986289.1	928 	NP_919369.2	928 
107	XP_005986292.1	260 	NP_001034915.2	260 
108	XP_005986295.1	944 	NP_001098596.2	944 
109	XP_005986300.1	533 	NP_998326.1	533 
110	XP_005986303.1	33.9	XP_021335350.1	43.5
111	XP_005986304.1	642 	XP_005162280.1	653 
112	XP_005986312.1	261 	NP_001002477.1	255 
113	XP_005986314.1	429 	NP_001003534.1	408 
114	XP_005986315.1	315 	XP_695928.4	291 
115	XP_005986318.1	374 	NP_001071194.2	394 
116	XP_005986319.1	721 	NP_998438.1	706 
117	XP_005986321.1	413 	NP_001003505.1	432 
118	XP_005986323.1	111 	XP_005172187.1	111 
119	XP_005986324.1	828 	NP_001116846.1	829 
