	Paralogs
0	NP_008330.1
1	NP_008336.1
2	NP_008337.1
3	NP_008340.1
4	XP_005986019.1
5	XP_005986025.1
6	XP_005986026.1
7	XP_005986034.1
8	XP_005986036.1
9	XP_005986038.1
10	XP_005986039.1
11	XP_005986044.1
12	XP_005986048.1
13	XP_005986053.1
14	XP_005986072.1
15	XP_005986076.1
16	XP_005986078.2
17	XP_005986079.1
18	XP_005986082.1
19	XP_005986086.1
20	XP_005986087.1
21	XP_005986103.1
22	XP_005986105.1
23	XP_005986111.1
24	XP_005986117.1
25	XP_005986118.1
26	XP_005986120.1
27	XP_005986121.1
28	XP_005986132.2
29	XP_005986158.1
30	XP_005986168.1
31	XP_005986174.1
32	XP_005986175.2
33	XP_005986183.1
34	XP_005986186.1
35	XP_005986188.1
36	XP_005986193.1
37	XP_005986195.1
38	XP_005986205.1
39	XP_005986220.1
40	XP_005986222.1
41	XP_005986223.1
42	XP_005986230.1
43	XP_005986239.1
44	XP_005986242.1
45	XP_005986246.1
46	XP_005986251.1
47	XP_005986254.1
48	XP_005986258.1
49	XP_005986292.1
50	XP_005986300.1
51	XP_005986312.1
52	XP_005986323.1
53	XP_005986342.1
54	XP_005986344.1
55	XP_005986345.1
56	XP_005986353.2
57	XP_005986364.1
58	XP_005986391.1
59	XP_005986409.1
60	XP_005986412.2
61	XP_005986415.1
62	XP_005986421.1
63	XP_005986422.1
64	XP_005986426.1
65	XP_005986434.1
66	XP_005986436.1
67	XP_005986437.1
68	XP_005986443.1
69	XP_005986452.1
70	XP_005986459.1
71	XP_005986473.1
72	XP_005986477.1
73	XP_005986479.1
74	XP_005986486.1
75	XP_005986488.1
76	XP_005986494.1
77	XP_005986515.1
78	XP_005986529.1
79	XP_005986538.1
80	XP_005986543.1
81	XP_005986547.1
82	XP_005986560.1
83	XP_005986574.2
84	XP_005986575.1
85	XP_005986588.1
86	XP_005986589.1
87	XP_005986591.1
88	XP_005986595.2
89	XP_005986603.1
90	XP_005986608.1
91	XP_005986614.1
92	XP_005986624.1
93	XP_005986625.1
94	XP_005986631.1
95	XP_005986634.1
96	XP_005986636.1
97	XP_005986643.1
98	XP_005986647.1
99	XP_005986649.1
100	XP_005986654.1
101	XP_005986658.1
102	XP_005986661.1
103	XP_005986668.1
104	XP_005986673.1
105	XP_005986681.1
106	XP_005986696.2
107	XP_005986704.1
108	XP_005986731.1
109	XP_005986734.1
110	XP_005986741.1
111	XP_005986749.1
112	XP_005986752.1
113	XP_005986753.1
114	XP_005986772.1
115	XP_005986774.1
116	XP_005986788.1
117	XP_005986791.1
118	XP_005986792.1
119	XP_005986793.1
120	XP_005986794.1
121	XP_005986799.1
122	XP_005986802.1
123	XP_005986807.1
124	XP_005986809.1
125	XP_005986811.1
126	XP_005986816.1
127	XP_005986818.1
128	XP_005986825.1
129	XP_005986828.2
130	XP_005986829.1
131	XP_005986840.2
132	XP_005986849.1
133	XP_005986853.2
134	XP_005986854.1
135	XP_005986861.1
136	XP_005986871.1
137	XP_005986875.1
138	XP_005986878.1
139	XP_005986882.1
140	XP_005986887.1
141	XP_005986909.1
142	XP_005986916.1
143	XP_005986917.1
144	XP_005986922.1
145	XP_005986926.1
146	XP_005986928.1
147	XP_005986930.1
148	XP_005986944.2
149	XP_005986949.1
150	XP_005986958.1
151	XP_005986965.1
152	XP_005986974.1
153	XP_005986976.1
154	XP_005986980.1
155	XP_005986981.1
156	XP_005986982.1
157	XP_005986991.1
158	XP_005986993.1
159	XP_005986995.1
